order_id,customer_id,order_date,delivery_time_min,status,total_amount_xaf,city_order,quartier_order,product_category,courier_id,order_hour,order_day_of_week,order_day,order_month,name,phone,registration_date,city_customer,quartier_customer,loyalty_score,client_actif
100014,CUST11534,2024-12-19 00:07:00,55.8,livré,9511.0,Yaounde,Mokolo,epicerie,33,0,Thursday,Thursday,2024-12,Colette WAMBA,653537934,2023-03-09,Douala,Ndog-Bong,3.6,True
100015,CUST17282,2024-12-24 19:07:00,55.6,livre,3804.0,Douala,Bonapriso,restauration,36,19,Tuesday,Tuesday,2024-12,IBRAHIM Rabi,620993268,2022-05-25,Douala,Logbessou,68.6,True
100016,CUST17163,2024-12-06 20:49:00,43.2,livré,18000.0,Bafoussam,Bamougoum,restauration,12,20,Friday,Friday,2024-12,Colette EKANI,622684373,2021-10-12,Douala,Beedi,28.4,True
100017,CUST11386,2025-02-26 00:00:00,178.2,en_retard,5099.0,Yaounde,Mendong,produit frais,35,0,Wednesday,Wednesday,2025-02,Aurelie ESSAMA,680610004,2024-09-10,Douala,Bonanjo,43.8,True
100018,CUST11683,2023-08-04 18:01:00,20.7,annulé,7613.0,Douala,New-Bell,epicerie,19,18,Friday,Friday,2023-08,Rémi DJOUMESSI,648530827,2021-06-12,Yaounde,Santa Barbara,42.4,True
100019,CUST11189,2024-05-10 00:00:00,39.4,livré,11211.0,Yaounde,Mendong,produit frais,42,0,Friday,Friday,2024-05,Carine BILONG,648605268,2022-07-08,Douala,Makepe,54.0,True
100020,CUST17299,2024-12-21 12:15:00,31.3,livré,45000.0,Douala,PK12,cosmetique,31,12,Saturday,Saturday,2024-12,,,,,,,True
100021,CUST10311,2024-05-22 11:36:00,133.5,en_retard,365248.0,Yaounde,Essos,electronique,16,11,Wednesday,Wednesday,2024-05,Boubacar engolo,(+237)617634247,2024-12-09,Douala,Mboppi,100.0,True
100022,CUST10792,2023-08-03 12:47:00,25.1,livré,48072.0,Bafoussam,Fomekoua,inconnu,7,12,Thursday,Thursday,2023-08,Guy MENDO,647535126,2023-08-10,Yaounde,Obili,37.6,True
100023,CUST10270,2024-12-25 20:59:00,45.7,en_retard,5420.0,Douala,Deido,restauration,10,20,Wednesday,Wednesday,2024-12,Suzanne DAWA,623141087,2024-07-29,Bafoussam,Baham-Route,44.4,True
100024,CUST10578,2025-03-09 00:00:00,34.4,livré,12249.0,Douala,Bepanda,papeterie,23,0,Sunday,Sunday,2025-03,DIALLO Armel,633607110,2023-04-22,Douala,Nyalla,73.0,True
100025,CUST10987,2025-02-24 00:00:00,34.3,livré,66390.0,Douala,Bonabéri,vetement,4,0,Monday,Monday,2025-02,Isabelle BELLO,634359060,2022-07-25,Douala,Deido,46.7,True
100026,CUST11082,2022-05-07 03:45:00,184.4,en_retard,18000.0,Yaounde,Madagascar,restauration,41,3,Tuesday,Saturday,2022-05,NGUEFACK Baudouin,687835998,2023-01-26,Douala,Bali,33.3,True
100027,CUST10751,2023-04-10 00:00:00,39.2,livré,16306.0,Douala,Akwa,inconnu,27,0,Wednesday,Monday,2023-04,BALDE Emmanuel,(+237)666379329,2023-09-12,Yaounde,Mokolo,94.3,True
100028,CUST11953,2024-01-07 22:29:00,82.6,en_retard,120000.0,Douala,Mboppi,vetement,6,22,Monday,Sunday,2024-01,Laure FEUDJIO,618469210,2022-01-15,Douala,Bali,58.4,True
100029,CUST17215,2024-03-25 00:00:00,33.5,livré,7044.0,Bafoussam,Centre Ville,produit frais,15,0,Monday,Monday,2024-03,Sandrine COULIBALY,648285503,2021-11-17,Douala,Ndogpassi,78.4,True
100030,CUST11133,2024-12-10 12:32:00,109.3,en_retard,11024.0,Douala,Bonamoussadi,inconnu,16,12,Saturday,Tuesday,2024-12,FOTSO Oumar,620779739,2024-04-08,Douala,Yassa,35.6,True
100031,CUST11089,2023-06-09 22:40:00,32.4,livré,5279.0,Yaounde,Ngoa-Ekele,boisson,6,22,Friday,Friday,2023-06,Aurelie tchoupo,656321751,2023-09-23,Douala,Village,36.9,True
100032,CUST11450,2023-11-04 00:00:00,28.7,livré,8434.0,Bafoussam,Tougang,epicerie,15,0,Saturday,Saturday,2023-11,THIERRY COULIBALY,667279295,2021-10-06,Yaounde,Melen,61.0,True
100033,CUST11208,2024-05-15 22:55:00,24.0,livre,50000.0,Bafoussam,Fomekoua,inconnu,3,22,Wednesday,Wednesday,2024-05,FEUDJIO Larissa,686762164,2022-02-03,Douala,Logbessou,76.7,True
100034,CUST10931,2024-03-04 09:25:00,45.7,en_retard,83506.0,Douala,Kotto,vetement,31,9,Monday,Monday,2024-03,MAROUF Honoré,647945817,2023-04-27,Yaounde,Madagascar,90.7,True
100035,CUST12033,2022-09-20 11:35:00,45.7,livré,8599.0,Douala,Logbessou,epicerie,45,11,Tuesday,Tuesday,2022-09,Hamidou DOUMBIA,696592295,2023-06-09,Douala,Bonapriso,16.3,True
100036,CUST11069,2023-08-08 00:00:00,115.7,en_retard,71697.0,Bafoussam,Tougang,pharmacie,33,0,Tuesday,Tuesday,2023-08,Rabi ATEBA,690447099,2022-03-09,Bafoussam,Lekie,71.5,True
100037,CUST11643,2023-12-28 00:00:00,45.7,en_retard,26395.0,Douala,Ndokotti,articles menagers,24,0,Thursday,Thursday,2023-12,DIALLO Rémi,644355473,2021-02-05,Yaounde,Emana,27.9,True
100038,CUST11956,2022-03-02 10:53:00,40.7,livré,74973.0,Bafoussam,Djeleng,vetement,22,10,Wednesday,Wednesday,2022-03,KOUAM Boubacar,649385195,2021-03-19,Bafoussam,Famla,70.0,True
100039,CUST17118,2025-01-06 12:08:00,32.6,livré,3344.0,Bafoussam,Tamdja,restauration,36,12,Monday,Monday,2025-01,teguia Honoré,675579548,2021-04-04,Yaounde,Elig-Edzoa,83.6,True
100040,CUST11976,2022-05-18 00:00:00,140.2,en_retard,8351.0,Douala,Bonanjo,boisson,47,0,Wednesday,Wednesday,2022-05,BAUDOUIN ENGOLO,646670512,2023-10-05,Yaounde,Obili,31.2,True
100041,CUST17134,2023-09-28 12:14:00,45.7,en_cours,6426.0,Douala,Mboppi,produit frais,32,12,Thursday,Thursday,2023-09,nkolo Ibrahim,617869910,2022-11-26,Douala,Mboppi,52.6,True
100042,CUST11252,2024-12-04 10:16:00,43.3,livré,7876.0,Yaounde,Nkomo,boisson,18,10,Friday,Wednesday,2024-12,BAUDOUIN MBARGA,659104566,2022-01-19,Douala,Akwa,30.1,True
100043,CUST10545,2025-02-13 16:55:00,31.3,livré,9672.0,Douala,Village,restauration,36,16,Thursday,Thursday,2025-02,Marcel BIKELE,00237648089166401696,2023-01-30,Douala,Nyalla,83.0,True
100044,CUST10982,2025-07-03 05:10:00,76.2,en_retard,15618.0,Douala,Bonamoussadi,restauration,10,5,Friday,Thursday,2025-07,Sandrine OUMAROU,673149551,2021-07-19,Douala,Kotto,68.0,True
100045,CUST11659,2025-02-01 07:08:00,68.6,livré,37223.0,Yaounde,Nkomo,pharmacie,16,7,Saturday,Saturday,2025-02,ARMELLE EKOTTO,695268296,2022-06-07,Douala,Yassa,100.0,True
100046,CUST10314,2023-02-20 18:57:00,58.4,livré,1905.0,Yaounde,Nkol-Eton,hygiene,10,18,Monday,Monday,2023-02,MARIE ASSOUMOU,00237634941004226888,2022-02-13,Yaounde,Nlongkak,73.6,True
100047,CUST17145,2022-12-02 17:08:00,197.5,en_retard,28940.0,Douala,Bonapriso,cosmetique,25,17,Saturday,Friday,2022-12,,,,,,,True
100048,CUST10741,2023-12-29 00:00:00,180.5,en_retard,11593.0,Yaounde,Tsinga,boisson,21,0,Friday,Friday,2023-12,Joëlle ASSOUMOU,656600900,2021-12-22,Douala,Yassa,58.5,True
100049,CUST17195,2024-05-02 18:11:00,47.5,livré,9540.0,Bafoussam,Ndiengdam,boisson,34,18,Thursday,Thursday,2024-05,ibrahim Gaston,643822301,2023-12-05,Douala,Ngodi-Bakoko,73.6,True
100050,CUST12021,2023-12-14 11:01:00,24.0,livré,50000.0,Douala,Ndogpassi,inconnu,15,11,Thursday,Thursday,2023-12,,,,,,,True
100051,CUST11611,2023-04-26 20:01:00,114.3,en_retard,22004.0,Douala,Ndogpassi,epicerie,18,20,Wednesday,Wednesday,2023-04,NJIEMOUN Serge,692963368,2021-07-26,Yaounde,Efoulan,,True
100052,CUST11970,2025-08-01 19:51:00,73.4,livré,,Yaounde,Nkol-Eton,inconnu,13,19,Wednesday,Friday,2025-08,CAMARA Luc,635649468,2021-09-16,Yaounde,Mendong,21.8,True
100053,CUST10267,2025-01-16 00:00:00,24.3,livre,4769.0,Yaounde,Bastos,boisson,22,0,Thursday,Thursday,2025-01,Aline MBASSI,620117988,2021-12-23,Douala,Bonanjo,68.2,True
100054,CUST11576,2025-03-05 00:00:00,32.2,livré,26264.0,Douala,Bonanjo,inconnu,8,0,Wednesday,Wednesday,2025-03,Céline bikele,648848936,2022-05-25,Douala,Deido,100.0,True
100055,CUST10759,2023-10-08 15:24:00,29.9,annulé,1835.0,Douala,Bonabéri,restauration,44,15,Sunday,Sunday,2023-10,OUMAROU Honoré,00237668450095364322,2023-05-01,Douala,Deido,60.7,True
100056,CUST11255,2025-01-30 19:27:00,230.2,en_retard,21026.0,Douala,Ndokotti,cosmetique,30,19,Thursday,Thursday,2025-01,BERNARD ISSA,646578001,2024-09-26,Yaounde,Briqueterie,41.8,True
100057,CUST11725,2024-10-07 14:18:00,52.1,livré,3489.0,Yaounde,Tsinga,produit frais,38,14,Monday,Monday,2024-10,Astride MONGO,655414869,2023-05-19,Douala,PK8,19.2,True
100058,CUST11278,2024-07-14 00:00:00,5.0,annulé,7892.0,Bafoussam,Tamdja,epicerie,23,0,Sunday,Sunday,2024-07,,,,,,,True
100059,CUST17172,2023-10-13 16:46:00,8.4,annulé,2575.0,Bafoussam,Bamendzi,restauration,41,16,Friday,Friday,2023-10,Rabi NGUEFACK,666661351,2024-10-25,Douala,Kotto,19.4,True
100060,CUST11832,2023-06-09 00:00:00,61.7,livré,35548.0,Yaounde,Obili,cosmetique,4,0,Friday,Friday,2023-06,HONORÉ FEZE,679244185,2021-01-09,Yaounde,Mendong,56.8,True
100061,CUST10740,2024-02-03 18:27:00,291.1,en_retard,9778.0,Douala,Ndog-Bong,restauration,19,18,Saturday,Saturday,2024-02,Gaston FOMEKONG,615512205,2022-02-03,Bafoussam,Tougang,100.0,True
100062,CUST17162,2024-09-10 08:46:00,45.7,livré,4030.0,Douala,Ndokotti,produit frais,38,8,Wednesday,Tuesday,2024-09,,,,,,,True
100063,CUST11086,2024-11-27 21:22:00,32.7,livré,86987.0,Bafoussam,Baham-Route,vetement,27,21,Wednesday,Wednesday,2024-11,Jules NGAMOURI,669934576,2022-08-20,Douala,Bali,37.2,True
100064,CUST11642,2024-06-30 13:58:00,58.1,livre,1808.0,Yaounde,Mvog-Mbi,hygiene,26,13,Sunday,Sunday,2024-06,KEVIN MBARGA,629655410,2021-12-07,Douala,Village,53.1,True
100065,CUST90687,2023-11-26 12:18:00,40.7,livré,-477.0,Yaounde,Briqueterie,vetement,45,12,Sunday,Sunday,2023-11,,,,,,,True
100066,CUST17162,2024-02-02 00:00:00,33.4,livré,195654.0,Douala,Logbessou,electronique,45,0,Friday,Friday,2024-02,,,,,,,True
100067,CUST11653,2023-10-31 12:32:00,45.7,livré,36341.0,Douala,Makepe,vetement,17,12,Tuesday,Tuesday,2023-10,,,,,,,True
100068,CUST11776,2023-03-25 00:00:00,39.4,livré,42207.0,Bafoussam,Djeleng,inconnu,35,0,Saturday,Saturday,2023-03,Fatima EKANI,640406092,2021-12-23,Douala,Beedi,46.6,True
100069,CUST11995,2024-04-19 14:16:00,31.4,livré,18000.0,Bafoussam,Baham-Route,restauration,24,14,Friday,Friday,2024-04,Chancelle toure,634220459,2022-11-01,Douala,Nkolmesseng,19.8,True
100070,CUST11656,2025-01-20 09:59:00,126.7,en_retard,6402.0,Douala,Yassa,epicerie,9,9,Monday,Monday,2025-01,Marie FOTSO,670251043,2023-09-07,Douala,New-Bell,26.8,True
100071,CUST17340,2024-08-15 12:04:00,41.0,livré,7338.0,Yaounde,Nlongkak,restauration,16,12,Thursday,Thursday,2024-08,Armel kone,00237676980546889512,2021-06-03,Douala,Bonabéri,69.3,True
100072,CUST10123,2024-09-02 16:17:00,42.1,livré,47367.0,Douala,Nkolmesseng,vetement,19,16,Monday,Monday,2024-09,ALI Astride,676238574,2023-08-25,Douala,Logbessou,46.6,True
100073,CUST10016,2023-03-21 00:00:00,45.7,livré,4046.0,Yaounde,Mvog-Mbi,hygiene,44,0,Tuesday,Tuesday,2023-03,OUMAR EBOUELE,641227216,2022-04-06,Douala,Logbessou,65.8,True
100074,CUST17122,2024-04-12 11:25:00,107.9,en_retard,18000.0,Douala,Ngodi-Bakoko,restauration,12,11,Friday,Friday,2024-04,ABATE Solange,617032877,2021-09-15,Bafoussam,Ngouache,56.1,True
100075,CUST10367,2024-04-19 18:53:00,45.7,livré,5059.0,Douala,Nyalla,inconnu,40,18,Friday,Friday,2024-04,Colette NGAMOURI,692097999,2021-09-16,Yaounde,Bastos,39.8,True
100076,CUST10123,2025-01-23 08:38:00,54.3,livré,5372.0,Bafoussam,Bamendzi,restauration,6,8,Thursday,Thursday,2025-01,ALI Astride,676238574,2023-08-25,Douala,Logbessou,46.6,True
100077,CUST11718,2025-03-01 00:17:00,31.3,livré,70762.0,Douala,Village,pharmacie,10,0,Friday,Saturday,2025-03,ESSAMA Hawa,691846696,2022-08-20,Yaounde,Santa Barbara,56.2,True
100078,CUST17301,2024-02-27 15:54:00,45.7,livré,7203.0,Bafoussam,Baham-Route,hygiene,14,15,Tuesday,Tuesday,2024-02,,,,,,,True
100079,CUST10735,2023-05-19 18:27:00,50.0,livré,4085.0,Douala,Ndokotti,hygiene,27,18,Friday,Friday,2023-05,OYONO Modibo,623676961,2022-09-11,Douala,PK12,30.1,True
100080,CUST10149,2023-04-05 19:04:00,57.8,livré,12000.0,Yaounde,Mokolo,produit frais,7,19,Wednesday,Wednesday,2023-04,Fatoumata FOMEKONG,631227574,2021-12-09,Yaounde,Nkol-Eton,37.1,True
100081,CUST11830,2024-04-22 12:26:00,53.0,livre,11028.0,Yaounde,Obili,inconnu,18,12,Monday,Monday,2024-04,CHANCELLE KOUYATE,684429198,2023-12-20,Yaounde,Obili,39.9,True
100082,CUST90163,2023-11-27 16:23:00,38.2,livré,18214.0,Douala,Ndogpassi,inconnu,20,16,Monday,Monday,2023-11,,,,,,,False
100083,CUST10234,2024-05-29 16:07:00,55.1,livré,8414.0,Yaounde,Nkomo,restauration,43,16,Wednesday,Wednesday,2024-05,Djeneba MFOU,687337818,2024-04-16,Douala,PK8,38.3,True
100084,CUST10618,2023-12-08 17:51:00,88.3,livré,7733.0,Yaounde,Nkol-Eton,papeterie,4,17,Friday,Friday,2023-12,Sylvain traore,682498004,2022-09-26,Douala,Bonabéri,42.9,True
100085,CUST11648,2024-05-07 00:00:00,103.6,en_retard,14618.0,Yaounde,Elig-Edzoa,inconnu,22,0,Tuesday,Tuesday,2024-05,OYONO Christelle,697980930,2024-12-04,Douala,Yassa,45.0,True
100086,CUST10333,2024-09-12 19:20:00,282.5,en_retard,72389.0,Yaounde,Madagascar,vetement,31,19,Monday,Thursday,2024-09,Mireille CISSE,00237652462441183468,2021-08-26,Douala,Bepanda,19.6,True
100087,CUST10107,2022-12-19 13:02:00,16.1,livré,16500.0,Bafoussam,Baham-Route,restauration,34,13,Monday,Monday,2022-12,AÏCHA NGONO,671586053,2022-01-17,Douala,Ndog-Bong,48.0,True
100088,CUST11239,2024-05-25 20:23:00,45.7,en_retard,31996.0,Bafoussam,Bamougoum,inconnu,35,20,Saturday,Saturday,2024-05,,,,,,,True
100089,CUST10222,2024-04-09 14:37:00,124.3,en_retard,8849.0,Douala,Bali,produit frais,11,14,Tuesday,Tuesday,2024-04,Eric NGUEFACK,614216175,2021-04-15,Douala,Deido,30.8,True
100090,CUST10019,2025-03-01 10:06:00,6.0,annulé,4574.0,Douala,Ndokotti,produit frais,38,10,Saturday,Saturday,2025-03,Luc AKONO,613561597,2022-06-20,Douala,Bepanda,,True
100091,CUST10296,2022-10-24 06:07:00,36.4,livré,24714.0,Douala,PK8,epicerie,41,6,Monday,Monday,2022-10,Oumar ESSAMA,635487660,2024-01-14,Douala,Yassa,47.7,True
100092,CUST11130,2024-07-22 11:19:00,44.1,livré,8640.0,Douala,Mboppi,produit frais,8,11,Monday,Monday,2024-07,Joël NDOUMBE,693652460,2023-03-11,Douala,Bonabéri,6.9,True
100093,CUST10626,2022-04-15 06:16:00,15.3,annulé,45971.0,Yaounde,Bastos,articles menagers,8,6,Friday,Friday,2022-04,Wilfried KONE,618620650,2023-12-26,Douala,New-Bell,46.1,True
100094,CUST11983,2023-05-29 18:22:00,45.7,livré,3074.0,Douala,New-Bell,produit frais,47,18,Monday,Monday,2023-05,Gustave NGONO,655504725,2022-10-05,Douala,Bepanda,19.1,True
100095,CUST17307,2023-12-09 14:07:00,40.5,livré,2999.0,Douala,Nkolmesseng,hygiene,11,14,Saturday,Saturday,2023-12,paul DIALLO,653261270,2023-12-13,Bafoussam,Ndiengdam,70.9,True
100096,CUST90175,2024-04-23 21:21:00,22.7,livré,7643.0,Bafoussam,Centre Ville,restauration,2,21,Tuesday,Tuesday,2024-04,,,,,,,True
100097,CUST17306,2024-09-02 07:50:00,69.5,livré,3072.0,Douala,Cité des Palmiers,hygiene,22,7,Friday,Monday,2024-09,paul BALDE,616202700,2023-04-22,Yaounde,Nkomo,62.1,True
100098,CUST10998,2023-02-23 17:28:00,53.4,livré,4273.0,Yaounde,Ngoa-Ekele,papeterie,11,17,Thursday,Thursday,2023-02,Alain NKOUAM,699943797,2024-07-10,Yaounde,Briqueterie,59.8,True
100099,CUST90916,2025-02-06 17:23:00,78.4,livré,118709.0,Douala,Yassa,electronique,29,17,Thursday,Thursday,2025-02,,,,,,,False
100100,CUST10500,2023-10-10 11:03:00,45.7,en_retard,13426.0,Yaounde,Essos,epicerie,7,11,Tuesday,Tuesday,2023-10,Boubacar FOTSO,619391725,2021-08-30,Yaounde,Biyem-Assi,9.7,True
100101,CUST10395,2024-01-20 00:00:00,22.5,livré,9159.0,Douala,Bepanda,epicerie,3,0,Saturday,Saturday,2024-01,Aline oyono,695132217,2023-10-13,Douala,Bonanjo,42.8,True
100102,CUST10918,2022-08-30 15:10:00,92.3,en_retard,14457.0,Yaounde,Mendong,restauration,18,15,Tuesday,Tuesday,2022-08,,,,,,,True
100103,CUST17360,2025-01-06 00:00:00,50.2,livré,2818.0,Yaounde,Ngoa-Ekele,produit frais,25,0,Monday,Monday,2025-01,,,,,,,True
100104,CUST10793,2023-03-23 18:38:00,88.5,livré,16597.0,Yaounde,Nlongkak,cosmetique,1,18,Thursday,Thursday,2023-03,MARCEL NGUEFACK,690014570,2024-11-28,Yaounde,Mimboman,41.1,True
100105,CUST17303,2023-09-23 18:08:00,45.7,en_cours,10181.0,Douala,Makepe,produit frais,34,18,Saturday,Saturday,2023-09,eric BIKELE,613885234,2024-08-23,Bafoussam,Pefura,56.6,True
100106,CUST11341,2023-11-19 17:19:00,39.0,livré,7750.0,Bafoussam,Bamendzi,boisson,6,17,Sunday,Sunday,2023-11,CYRILLE HASSAN,00237671031132267624,2024-06-26,Bafoussam,Baham-Route,12.1,True
100107,CUST17295,2023-07-03 00:00:00,269.2,en_retard,120000.0,Douala,Cité des Palmiers,vetement,12,0,Tuesday,Monday,2023-07,OYONO Patricia,648250360,2021-06-17,Yaounde,Mvog-Mbi,89.3,True
100108,CUST10183,2025-02-21 00:00:00,45.7,annulé,,Yaounde,Obili,articles menagers,5,0,Friday,Friday,2025-02,Fatima ISSA,619289546,2024-09-18,Douala,Bonapriso,72.5,True
100109,CUST11112,2023-12-18 00:00:00,34.7,livré,27071.0,Yaounde,Santa Barbara,pharmacie,39,0,Monday,Monday,2023-12,NGANSO Joëlle,00237626944487426965,2021-06-03,Yaounde,Melen,,True
100110,CUST11560,2025-06-01 07:58:00,45.7,livré,,Bafoussam,Djeleng,inconnu,21,7,Monday,Sunday,2025-06,CISSE Jean,689609131,2021-10-31,Yaounde,Mvog-Mbi,9.7,True
100111,CUST17157,2023-04-26 23:55:00,22.6,livre,9492.0,Douala,Ndogpassi,boisson,30,23,Wednesday,Wednesday,2023-04,,,,,,,True
100112,CUST11223,2025-02-28 07:05:00,78.9,livré,30958.0,Douala,New-Bell,pharmacie,24,7,Friday,Friday,2025-02,NDONGO Jules,00237640885967592765,2021-10-27,Yaounde,Omnisport,21.9,True
100113,CUST11986,2024-11-04 20:57:00,37.0,livré,36882.0,Yaounde,Mokolo,articles menagers,42,20,Thursday,Monday,2024-11,Rémi mendo,676776459,2021-07-24,Douala,Village,4.8,True
100114,CUST10655,2025-01-11 00:00:00,170.0,en_retard,18000.0,Yaounde,Elig-Edzoa,restauration,9,0,Saturday,Saturday,2025-01,GISÈLE NGANSO,675181765,2022-01-18,Douala,Mboppi,48.8,True
100115,CUST11849,2023-12-22 00:00:00,45.7,annulé,34396.0,Douala,Village,vetement,43,0,Friday,Friday,2023-12,Laurent ebouele,663211150,2024-07-26,Douala,PK8,70.1,True
100116,CUST11279,2024-12-31 16:03:00,75.3,en_retard,33209.0,Bafoussam,Centre Ville,inconnu,47,16,Tuesday,Tuesday,2024-12,NDONGO Alexis,661140376,2021-11-25,Douala,Akwa,11.2,True
100117,CUST11793,2024-11-22 00:00:00,45.7,en_retard,45000.0,Yaounde,Elig-Edzoa,cosmetique,11,0,Friday,Friday,2024-11,AKONO Saidou,631776452,2022-11-22,Douala,New-Bell,51.4,True
100118,CUST11734,2022-07-12 09:50:00,121.0,en_retard,25862.0,Douala,Cité des Palmiers,inconnu,4,9,Wednesday,Tuesday,2022-07,Sophie KOLLO,684888554,2024-05-10,Douala,PK12,26.7,True
100119,CUST10570,2024-03-13 19:34:00,54.0,livré,5763.0,Yaounde,Mokolo,produit frais,33,19,Wednesday,Wednesday,2024-03,MENGUE Gustave,663640499,2022-03-06,Yaounde,Briqueterie,14.0,True
100120,CUST17189,2024-12-31 15:12:00,30.7,livré,31014.0,Yaounde,Mokolo,inconnu,40,15,Tuesday,Tuesday,2024-12,Alain CISSE,650181935,2024-01-22,Yaounde,Madagascar,16.3,True
100121,CUST11335,2023-01-23 15:23:00,27.6,livré,20357.0,Douala,Bali,inconnu,41,15,Monday,Monday,2023-01,,,,,,,True
100122,CUST10259,2024-02-13 16:59:00,39.7,livré,45000.0,Yaounde,Omnisport,cosmetique,20,16,Tuesday,Tuesday,2024-02,Florent etoundi,(+237)681979055,2023-11-29,Douala,Ndokotti,37.6,True
100123,CUST11109,2022-08-08 00:00:00,31.5,livré,14714.0,Douala,Makepe,epicerie,45,0,Monday,Monday,2022-08,Constant dawa,630415230,2024-06-22,Bafoussam,Djeleng,15.2,True
100124,CUST12025,2025-02-21 13:01:00,42.0,livré,38851.0,Yaounde,Biyem-Assi,cosmetique,28,13,Friday,Friday,2025-02,JOËLLE ETOUNDI,614179623,2022-07-31,Douala,Kotto,11.7,True
100125,CUST11385,2025-01-02 19:37:00,59.3,livré,16765.0,Douala,Nyalla,inconnu,15,19,Saturday,Thursday,2025-01,Marlène djokam,666500369,2024-05-21,Yaounde,Bastos,42.5,True
100126,CUST10728,2024-06-18 11:49:00,103.1,en_retard,21537.0,Bafoussam,Kamkop,inconnu,22,11,Tuesday,Tuesday,2024-06,Abdou tchiemegni,660372847,2023-01-19,Douala,Ndokotti,100.0,True
100127,CUST11805,2023-08-24 00:00:00,23.1,livré,37347.0,Douala,Bali,inconnu,22,0,Thursday,Thursday,2023-08,SANGARE Baudouin,670254091,2023-09-19,Douala,Kotto,32.1,True
100128,CUST11090,2024-11-21 20:19:00,63.6,en_retard,34679.0,Bafoussam,Ngouache,inconnu,3,20,Thursday,Thursday,2024-11,NGUEFACK Sophie,654619335,2024-04-05,Douala,Ndokotti,59.1,True
100129,CUST11633,2022-09-11 11:47:00,45.7,en_cours,10225.0,Yaounde,Jouvence,epicerie,42,11,Wednesday,Sunday,2022-09,Patricia KONE,681216573,2024-03-19,Douala,Bonanjo,,True
100130,CUST10727,2024-06-06 00:00:00,47.2,livré,348388.0,Douala,Ngodi-Bakoko,electronique,27,0,Thursday,Thursday,2024-06,Pierre AMOUGOU,687282128,2021-12-12,Yaounde,Efoulan,35.5,True
100131,CUST17184,2024-05-13 00:00:00,7.6,annulé,15529.0,Douala,Beedi,cosmetique,5,0,Monday,Monday,2024-05,vanessa NDJOCK,641774192,2024-11-12,Douala,Bali,19.3,True
